AASHTO,American Association Of State Highway And Transportation Officials
AB,Sweden
ACAMS,Access Control And Alarm Monitoring System
ACD,Automatic Call Distribution
ACH,Automated Clearing House
ACID,Atomicity
ACL,Access Control Lists
AD,Active Directory
ADA,Americans With Disabilities Act
ADDIE,Analysis
ADT,Average Daily Traffic
AET,All Electronic Tolling
AFC,Automated Fare Collection
AG,Austria
AHT,Average Handle Time
AICPA,The American Institute Of CPAs
ALPR,Automatic License Plate Recognition
ANPR,Automatic Number Plate Recognition
APC,American Power Conversion (Corporation)
API,Application Program Interface
API,Application Programming Interface
APL,Airport Link
AQM,Air Quality Monitoring
AR,Argentina
ASA,Adaptive Security Appliance
ASFINAG,Autobahnen- Und Schnellstraßen-Finanzierungs-Aktiengesellschaft
ASHRAE,American Society Of Heating
ASP,Active Server Pages
ASR,Automatic Speech Recognition
ATI,Alliance For Toll Interoperability
ATMS,Advanced Traffic Management System
ATS,Automatic Transfer Switch
AVC,Automatic Vehicle Classification
AVD,Automatic Vehicle Detection
AVDC,Automatic Vehicle Detection And Classification
AVI,And Video
AVI,Audio Video Interleave
AVI,Automatic Vehicle Identification
AWG,American Wire Guage
BA,Business Administration
BAFO,Best And Final Offer
BAI,Bank Administration Institute
BATA,Bay Area Transportation Authority
BCP,Business Continuity Plan
BI,Business Intelligence
BMS,Business Management System
BO,Back Office
BOE,Basis Of Estimate
BOM,Bill Of Materials
BOS,Back Office System
BPA,Business Process Analysis
BPM,Business Process Management
BRD,Business Rules Document
BSD,Business Statistic Database
CAD,Computer-Aided Dispatch
CASS,Content-Aware Similarity Search
CBO,Commercial Back Office
CC,Call Centre
CCB,Change Control Board
CCB,Configuration Control Board
CCRMA,Cameron Country Regional Mobility Authority
CCTV(P),Closed Circuit TV Camera Point
CCTV,Closed Circuit Television
CCU,Central Collection Unit
CD-ROM,Compact Disc - Read Only Memory
CDA,Comprehensive Development Agreement
CDD,Critical Design Document
CDR,Central Data Repository
CDR,Critical Design Document/Review (aka CDR)
CDR,Critical Design Review
CDRL,Contract Data Requirements Lists
CHP,California Highway Patrol
CIP,Corridor Improvement Project
CIT,Cash In Transit
CM,Change Management
CMMI,Capability Maturity Model Integration
CMS(P),Changeable Message Sign Point
CMS,Changeable Message Sign
CMS,Content Management System
COA,Comprehensive Operational Analysis
COB,Continuity Of Business
COTS,Commercial Off The Shelf
CPM,Critical Path Method
CPMS,Central Parking Management System
CPU,Central Processing Unit
CRM Module,Customer Relationship Management Module
CRM,Customer Relationship Management
CRMSDC,Capital Area Minority Supplier Development Council
CSA,Components Are Typically UL
CSA/UL,Canadian Standards Association CUL Is
CSC,Customer Service Center
CSOD,Cornerstone On Demand
CSR,Customer Service Representative
CSS,Customer Service System
CSSI,Customer Service System Integrators (like Kapsch)
CSV,Comma Separated Value
CTC,California Transportation Commission
CTI,Computer Telephony Integration
CTOC,California Toll Operators Committee
CTR,Central Transaction Repository
CTR,Click Through Rate
CTRMA,Central Texas Regional Mobility Authority
CVC,California Vehicle Code
CVP,CISCO Voice Portal
D&D,Design And Deployment
D2D,Device To Device
DAVP,Data Anti-virus Protection
DB,Database
DBA,Database Administrator
DBA,Database Analyst
DBA,Doing Business As
DBE,Disadvantaged Business Enterprise
DC,Data Center
DCR,Designated Community Residents
DDIS,Digital Document Imaging System
DDMS,Dedicated Dynamic Message Signs/System
DHHS,Department Of Health And Human Services
DIO,Data Input/Output
DMS,Document Management System
DMS,Dynamic Message Sign
DMV,Department Of Motor Vehicles
DMZ,Demilitarized Zone
DNS,Domain Name System
DOT,Department Of Transportation
DPU,Data Processing Unit
DQA,Data Quality Assurance
DR,Disaster Recovery
DR,Disaster Recovery Site
DRBA,Delaware River And Bay Authority
DRJTBC,Delaware River Joint Toll Bridge Commission
DRP,Disaster Recovery Plan
DRS,Distributed Resource Scheduler
DSRC,Dedicated Short Range Communications
DSS,Data Security Standard
DTMF,Dual Tone Multi Frequency
DVAS,Digital Video Audit System
DVP,Dominion Virginia Power
DVR,Digital Vehicle Recorder
DW,Data Warehousing
DelDOT,Delaware Department Of Transportation
DoIT,Department Of Information Technology
ECS,Executive Correspondence System
ECT,Equipment Commissioning Test
EDI,Electronic Data Interchange
EETS,European Electronic Toll Service
EFC,Electronic Fee Collection
EIM,Enterprise Information Management
EL,Express Lanes
EL,Express Lane(s)
ELSP,Express Lanes Service Patrol
EMI,Electromagnetic Interference
EMV,Europay MasterCard Visa
ENG,Engineering
EOC,Employment Opportunity Tax Credit
EOF,East Operations Facility
EOG,Executive Office Of The Governor
EPOS,Electronic Point Of Sale
EPP,E ZPass Processor
EPP,Easy Pass Processor
ERC,Elizabeth River Crossing
ERD,Entity Relationship Diagram
ERP,Enterprise Resource Planning
ERS,Enterprise Reporting System
ETC,Electronic Toll Collection
ETCCS,Electronic Toll Collection Central System
ETCS,Electronic Toll Collection System
ETL,Express Toll Lanes (Maryland)
ETL,Extract Transform And Load
ETW,Edge Of Travel Way
EoL,End Of Life
FAS,Fast Application Server
FAST Act,Fixing Americ's Surface Transportation Act
FAT,Factory Acceptance Testing
FAT,Factory Acceptance Test
FDCPA,Fair Debt Collection Practices Act
FDD,Final Design Document
FDD,Final Design Document/Review (aka FDR)
FDDD,Final Detailed Design Documentation
FDDR,Final Detailed Design Review
FDOT,Florida Department Of Transportation
FDR,Final Design Review
FHWA,Federal Highway Administration
FITM,Freeway Incident Traffic Management
FLS,Field Level Subsystems
FMIS,Financial Management Information System
FMS,Financial Management System
FOIA,Freedom Of Information Act
FRDD,Final Reports Design Documentation
FRDW,Final Reports Design Workshop
FSP,Freeway Service Patrol
FTA,Federal Transit Administration
FTE,Florida Turnpike Enterprise
FTE,Full Time Employee
FTE,Full Time Equivalent
FTP,File Transfer Protocol
FTP/SFTP,File Transfer Protocol/Secure File Transfer Protocol
GAAP,Generally Accepted Accounting Principles
GCW,Gross Commercial Weight
GDDKiA,General Directorate For National Roads And Motorways
GFIS,Gauteng Freeway Improvement Scheme
GFRP,Glass Fiber Reinforced Polymer
GL,General Ledger
GNSS,Global Navigation Satellite System
GORT,Gauteng Open Road Tolling
GP,General Purpose
GPRA,Government Performance And Results Act
GPS,Global Positioning System
GRTA,Bus System In Atlanta
GSA,General Services Administration
GUI,Graphical User Interface
GVDB,Golden Vehicle Database
