CAD,Computer-Aided Dispatch
CASS,Content-Aware Similarity Search
CBO,Commercial Back Office
CC,Call Centre
CCB,Change Control Board
CCB,Configuration Control Board
CCRMA,Cameron Country Regional Mobility Authority
CCTV(P),Closed Circuit TV Camera Point
CCTV,Closed Circuit Television
CCU,Central Collection Unit
CD-ROM,Compact Disc - Read Only Memory
CDA,Comprehensive Development Agreement
CDD,Critical Design Document
CDR,Central Data Repository
CDR,Critical Design Document/Review (aka CDR)
CDR,Critical Design Review
CDRL,Contract Data Requirements Lists
CHP,California Highway Patrol
CIP,Corridor Improvement Project
CIT,Cash In Transit
CM,Change Management
CMMI,Capability Maturity Model Integration
CMS(P),Changeable Message Sign Point
CMS,Changeable Message Sign
CMS,Content Management System
COA,Comprehensive Operational Analysis
COB,Continuity Of Business
COTS,Commercial Off The Shelf
CPM,Critical Path Method
CPMS,Central Parking Management System
CPU,Central Processing Unit
CRM Module,Customer Relationship Management Module
CRM,Customer Relationship Management
CRMSDC,Capital Area Minority Supplier Development Council
CSA,Components Are Typically UL
CSA/UL,Canadian Standards Association CUL Is
CSC,Customer Service Center
CSOD,Cornerstone On Demand
CSR,Customer Service Representative
CSS,Customer Service System
CSSI,Customer Service System Integrators (like Kapsch)
CSV,Comma Separated Value
CTC,California Transportation Commission
CTI,Computer Telephony Integration
CTOC,California Toll Operators Committee
CTR,Central Transaction Repository
CTR,Click Through Rate
CTRMA,Central Texas Regional Mobility Authority
CVC,California Vehicle Code
CVP,CISCO Voice Portal
