GAAP,Generally Accepted Accounting Principles
GCW,Gross Commercial Weight
GDDKiA,General Directorate For National Roads And Motorways
GFIS,Gauteng Freeway Improvement Scheme
GFRP,Glass Fiber Reinforced Polymer
GL,General Ledger
GNSS,Global Navigation Satellite System
GORT,Gauteng Open Road Tolling
GP,General Purpose
GPRA,Government Performance And Results Act
GPS,Global Positioning System
GSA,General Services Administration
GUI,Graphical User Interface
GVDB,Golden Vehicle Database
GVDB,Golden Vehicle Database (vehicle Reference Images)
SRTA,Georgia
